class_id,class_name,img_name,pred_class_id,pred_class_name,prob,correct
0,M58-Encoder側走行機身,aug_0000_20240417131848.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0127_20240417132109.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0128_20240417132109.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0129_20240417131825.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0130_20240417131825.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0131_20240417131825.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0132_20240417131946.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0133_20240417131946.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0134_20240417131946.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0135_20240417132043.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0136_20240417132043.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0137_20240417132043.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0138_20240417132118.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0139_20240417132118.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0140_20240417132118.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0141_20240417131818.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0142_20240417131818.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0143_20240417131909.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0144_20240417131909.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0145_20240417132045.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0146_20240417132045.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0147_20240417131837.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0126_20240417132109.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0148_20240417131837.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0125_20240417132110.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0123_20240417132110.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0102_20240417131959.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0103_20240417131959.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0104_20240417131959.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0105_20240417131922.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0106_20240417131922.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0107_20240417131922.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0108_20240417132114.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0109_20240417132114.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0110_20240417132114.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0111_20240417131947.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0112_20240417131947.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0113_20240417131947.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0114_20240417132057.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0115_20240417132057.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0116_20240417132057.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0117_20240417131940.jpg,68,M58-走行馬達固定座牙片,0.0137,0
0,M58-Encoder側走行機身,aug_0118_20240417131940.jpg,68,M58-走行馬達固定座牙片,0.0137,0
