class_id,class_name,img_name,pred_class_id,pred_class_name,prob,correct
0,M58-Encoder側走行機身,aug_0000_20240417131848.jpg,66,M58-走行從動輪固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0127_20240417132109.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0128_20240417132109.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0129_20240417131825.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0130_20240417131825.jpg,16,M58-中牽夾具-2-A,0.0128,0
0,M58-Encoder側走行機身,aug_0131_20240417131825.jpg,16,M58-中牽夾具-2-A,0.0128,0
0,M58-Encoder側走行機身,aug_0132_20240417131946.jpg,70,M58-走行驅動軸心,0.0128,0
0,M58-Encoder側走行機身,aug_0133_20240417131946.jpg,39,M58-擺臂下擋塊,0.0128,0
0,M58-Encoder側走行機身,aug_0134_20240417131946.jpg,46,M58-支撐固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0135_20240417132043.jpg,10,M58-SENSOR固定片(減速、急停),0.0128,0
0,M58-Encoder側走行機身,aug_0136_20240417132043.jpg,32,M58-庫格檢轉接片,0.0128,0
0,M58-Encoder側走行機身,aug_0137_20240417132043.jpg,27,M58-封板固定座-1,0.0128,0
0,M58-Encoder側走行機身,aug_0138_20240417132118.jpg,52,M58-條碼Sensor固定片,0.0128,0
0,M58-Encoder側走行機身,aug_0139_20240417132118.jpg,58,M58-毛刷連接板-1,0.0128,0
0,M58-Encoder側走行機身,aug_0140_20240417132118.jpg,66,M58-走行從動輪固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0141_20240417131818.jpg,44,M58-擺臂門型開關固定片,0.0128,0
0,M58-Encoder側走行機身,aug_0142_20240417131818.jpg,66,M58-走行從動輪固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0143_20240417131909.jpg,16,M58-中牽夾具-2-A,0.0128,0
0,M58-Encoder側走行機身,aug_0144_20240417131909.jpg,16,M58-中牽夾具-2-A,0.0128,0
0,M58-Encoder側走行機身,aug_0145_20240417132045.jpg,32,M58-庫格檢轉接片,0.0128,0
0,M58-Encoder側走行機身,aug_0146_20240417132045.jpg,32,M58-庫格檢轉接片,0.0128,0
0,M58-Encoder側走行機身,aug_0147_20240417131837.jpg,46,M58-支撐固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0126_20240417132109.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0148_20240417131837.jpg,46,M58-支撐固定座,0.0128,0
0,M58-Encoder側走行機身,aug_0125_20240417132110.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0123_20240417132110.jpg,76,M58-電池固定架2,0.0128,0
0,M58-Encoder側走行機身,aug_0102_20240417131959.jpg,57,M58-毛刷連接板,0.0128,0
